id,created_at,text,screen_name,description,location,followers_count,statuses_count,retweet_count
"793442961337888772","2016-11-01","rt i idea tri rig elect favor hillarysexcus","NinaHight","retir dog groomer maga our militari best strong support presid trump vp penc marri best friend yrs trump","KS","3809","44024","116"
"793442960343957504","2016-11-01","rt leginsurrect um nt call equal pay equal work you problem","rightroadnow","a power new conserv movement emerg worldpleas share vote part my instagram acct close lack pc badg honor","NY","2552","39734","15"
"793442968757760000","2016-11-01","i support team trump download offici app makeamericagreatagain trumptrain","RerukiRena","proud trump support donaldtrump maga trumptrain draintheswamp istandwithhann hanniti walkaway","FL","1947","22269","0"
"793442971966242816","2016-11-01","realdonaldtrump say king email delet document destruct avoid legal prosecutionh know game system","new_revolt","all forefath fought lost we seek defend right guarante us constitut we block trump all support","AZ","64","3899","0"
"793442972096278528","2016-11-01","rt thepeoplesview to extent russian hack us elect made possibl snowden greenwald wikileak the timelin http","gmsingh123","","IL","180","27100","2"
"793442969424539648","2016-11-01","rt trumpmovementus hostag break silenc tell world how trump took care his famili while imprison iran","nutritiongrl62","love god hubbi famili countri outdoor a passion alway help defeat evil maga freedom qanon greatawaken","KS","6390","11262","518"
"793442971232251904","2016-11-01","rt hillari clinton unbeat talent recruit white collar crimin campaign staff hillaryforprison","darrelralph_DDR","follow i ll follow creator write pen gear texa usa","TX","2220","22929","93"
"793442973161705472","2016-11-01","rt agconserv trump also repeat attack nato suggest would nt defend alli russian invas","carol_clovely4","grandmoth four will alway hrc resist hate trump everi fiber democrat parti yes berni","CA","3899","230643","91"
"793442975011393537","2016-11-01","rt mix data am bad nat l poll clinton bad state poll trump trump chanc anoth tick http","TheWesternWord","clown left joker right for independ commentari visit websit","MT","1039","33293","955"
"793442979851755524","2016-11-01","top elect model predict big win clinton","thehill","the hill premier sourc polici polit news follow tweet s happen washington break news retweet report","WA","3452826","650387","61"
"793442981512638464","2016-11-01","hillarysexcus he lie she lie they lie the russian right wing conspiraci bc kkk i m rapist draintheswamp clinton","ray_hessel","forti hour workweek relic industri age knowledg worker function like athlet train sprint rest reassess naval","MI","19940","53549","0"
"793442979037843456","2016-11-01","rt hillaryclinton comput scientist appar uncov covert server link trump organ russianbas bank h","mydogsmom315","everyday i fluctuat rage sad this america i grew i resist bc i refus leav grandchildren america like","MS","1488","41875","12670"
"793442977007796225","2016-11-01","rt kimdotcom there s unpublish materi yet come clinton serious troubl","robquinnpc","","IL","24","1074","4522"
"793442986013188099","2016-11-01","rt bugsyjonesband donald trump a call uniti bigjbeezi prisonplanet tponew harlan lyzestrada carminezozzora ht","JohnLeksander","develop investor contractor organ farmer radiopersona candid unit state senat letsgetconnect","WI","9415","84007","7"
"793442985824235522","2016-11-01","the latest theori trump avoid pay tax near billion via cnnmoney","Rominger007","cycl junkiepolit enthusiastfin nutavid reader mani","CA","334","11540","0"
"793442982770999297","2016-11-01","templeuniv templeowl templefb pleas vote trump he one fix countri vote us usa","LL07CJSANFRAN","proud american wife sister trump day anim lover trump penc make america safe again trumppenc maga no dem vote red","PA","5312","25694","0"
"793442990287126529","2016-11-01","rt frankluntz democrat open smear fbi director jame comey back juli attack trump","bd05926","wife mother proud american a love care conserv love god famili friend usa","NJ","246","37171","1113"
